,CIK,CONAME,FYRMO,FDATE,FORM,SECFNAME,positive_score,negative_score,polarity_score,average_sentence_length,percentage_of_complex_words,fog_index,complex_word_count,word_count,uncertainty_score,constraining_score,positive_word_proportion,negative_word_proportion,uncertainty_word_proportion,constraining_word_proportion,constraining_words_whole_report
0,3662,SUNBEAM CORP/FL/,199803,3/6/1998,10-K405,edgar/data/3662/0000950170-98-000413.txt,197.6678,37.73658,0.679389310091047,7.15966788723302,44.0227492793465,20.4729668666318,39554,89849,0,0,0.002192567529967,0.000411802023395,0,0,0
1,3663,SUNBEAM CORP/FL/,199804,5/15/1998,10-Q,edgar/data/3662/0000950170-98-001001.txt,128.7267,20.29475,0.727626454261273,7.12206605156506,109.781840131068,46.7615624730534,63657,57985,0,0,0.002207467448478,0.000344916788825,0,0,0
2,3664,SUNBEAM CORP/FL/,199805,8/13/1998,NT 10-Q,edgar/data/3662/0000950172-98-000783.txt,0.41904,0,0.999997613598669,6.12371134020619,10968.2130584192,4389.73470790378,63835,582,0,0,0,0,0,0,0
3,3665,SUNBEAM CORP/FL/,199806,11/12/1998,10-K/A,edgar/data/3662/0000950170-98-002145.txt,0.56232,0.1846,0.505702745002484,6.58450704225352,22511.6197183099,9007.28169014085,63933,284,0,0,0,0,0,0,0
4,3666,SUNBEAM CORP/FL/,199807,11/16/1998,NT 10-Q,edgar/data/3662/0000950172-98-001203.txt,0.5643,0.18525,0.505702747378097,6.56491228070176,22467.0175438596,8989.43298245614,64031,285,0,0,0,0,0,0,0
5,3667,SUNBEAM CORP/FL/,199808,11/25/1998,10-Q/A,edgar/data/3662/0000950170-98-002278.txt,13.51908,6.1852,0.372197290527881,7.21480307831598,770.303304662743,311.007243096424,68064,8836,0,0,0.001471253961068,0.000679040289724,0,0,0
6,3668,SUNBEAM CORP/FL/,199809,12/22/1998,10-Q,edgar/data/3662/0000950170-98-002401.txt,25.4184,11.51304,0.376518208428423,7.15308988764045,498.729266987694,202.352942750134,74570,14952,0,0,0.001672017121455,0.00073568753344,0,0,0
7,3669,SUNBEAM CORP/FL/,199810,12/22/1998,10-Q,edgar/data/3662/0000950170-98-002402.txt,13.9935,6.71688,0.351351334386364,7.25726230035374,845.492550112552,341.099924965162,78876,9329,0,0,0.001393504126916,0.000643155750884,0,0,0
8,3670,SUNBEAM CORP/FL/,199811,3/31/1999,NT 10-K,edgar/data/3662/0000950172-99-000362.txt,0.40238,0.03245,0.850744312158057,6.13251155624037,12184.5916795069,4876.28967642527,79078,649,0,0,0,0,0,0,0
9,3671,SUNBEAM CORP/FL/,199812,5/11/1999,10-K,edgar/data/3662/0000950170-99-000775.txt,87.49269,23.11983,0.58196720785344,7.22828844329738,220.058235722321,90.9146096662476,99759,45333,0,0,0.001919131758322,0.00050735667174,0,0,0
10,3672,SUNBEAM CORP/FL/,199813,5/17/1999,NT 10-Q,edgar/data/3662/0000950172-99-000584.txt,0.56232,0.1846,0.505702745002484,6.58450704225352,35160.9154929577,14067,99857,284,0,0,0,0,0,0,0
11,3673,SUNBEAM CORP/FL/,199814,6/11/1999,10-Q,edgar/data/3662/0000950170-99-001005.txt,12.8885,6.92,0.301310028456974,7.26346820809249,1200.62427745665,483.155098265896,103854,8650,0,0,0.001387283236994,0.000693641618497,0,0,0
12,3674,SUNBEAM CORP/FL/,199815,8/16/1999,NT 10-Q,edgar/data/3662/0000950172-99-001074.txt,0.37149,0.02436,0.876920861637333,6.04597701149425,17083.5796387521,6835.85024630542,104039,609,0,0,0,0,0,0,0
13,3675,SUNBEAM CORP/FL/,199816,8/19/1999,10-Q,edgar/data/3662/0000950170-99-001361.txt,0.56232,0.1846,0.505702745002484,6.58450704225352,36667.9577464789,14669.8169014085,104137,284,0,0,0,0,0,0,0
14,3676,SUNBEAM CORP/FL/,199817,11/8/1999,10-K/A,edgar/data/3662/0000889812-99-003241.txt,56.13135,21.77216,0.441048029273032,7.28196008113113,352.25609218378,143.815220905964,119834,34019,0,0,0.001646138922367,0.000617302095888,0,0,0
15,3677,SUNBEAM CORP/FL/,199818,11/8/1999,10-Q/A,edgar/data/3662/0000950170-99-001639.txt,23.13168,11.8624,0.32203388910256,7.23091448610736,853.877798759104,344.443485298085,126613,14828,0,0,0.001551119503642,0.000741839762611,0,0,0
16,3678,SUNBEAM CORP/FL/,199819,11/8/1999,10-Q/A,edgar/data/3662/0000950170-99-001640.txt,20.40714,10.80378,0.307692297833825,7.2428400059979,995.569050832209,401.124756335283,132789,13338,0,0,0.001499475183686,0.000749737591843,0,0,0
17,3679,SUNBEAM CORP/FL/,199820,11/15/1999,NT 10-Q,edgar/data/3662/0000950172-99-001626.txt,0.56145,0.18525,0.50381611916952,6.5719298245614,46627.0175438596,18653.4357894737,132887,285,0,0,0,0,0,0,0
18,3680,SUNBEAM CORP/FL/,199821,11/19/1999,10-Q,edgar/data/3662/0000950170-99-001856.txt,0.56145,0.18525,0.50381611916952,6.56842105263158,46661.4035087719,18667.1887719298,132985,285,0,0,0,0,0,0,0
19,3681,SUNBEAM CORP/FL/,199822,3/22/2006,10-K,edgar/data/3982/0000950129-06-002926.txt,79.09925,20.45005,0.58914728090356,7.09169366334068,387.956459764157,158.019261370999,149693,38585,0,0,0.0020474277569,0.000518336140987,0,0,0
20,3682,SUNBEAM CORP/FL/,199823,5/1/2006,10-K/A,edgar/data/3982/0000950129-06-004690.txt,0.5643,0.18525,0.505702747378097,6.56491228070176,52558.2456140351,21025.9242105263,149791,285,0,0,0,0,0,0,0
21,3683,SUNBEAM CORP/FL/,199824,5/10/2006,10-Q,edgar/data/3982/0000950129-06-005244.txt,65.2206,13.4728,0.657587540281808,7.10875244937949,531.492488569562,215.440496407577,162743,30620,0,0,0.002122795558459,0.000424559111692,0,0,0
